experiment_id,architecture,cut_layer,batch_size,epochs,learning_rate,mean_transition_time,std_transition_time,min_transition_time,max_transition_time,total_transitions,unique_labels,label_0_mean,label_0_std,label_0_count,label_1_mean,label_1_std,label_1_count,label_2_mean,label_2_std,label_2_count,label_3_mean,label_3_std,label_3_count,label_4_mean,label_4_std,label_4_count,label_5_mean,label_5_std,label_5_count,label_6_mean,label_6_std,label_6_count,label_7_mean,label_7_std,label_7_count,label_8_mean,label_8_std,label_8_count,label_9_mean,label_9_std,label_9_count
45,784_128_32_10,1,128,5,0.001,0.000224969891514156,3.7668234096598003e-06,0.0002182809156957,0.0002365707120481,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
46,784_128_32_10,2,128,5,0.001,0.00021017120687882998,2.9137492423983184e-06,0.0002043886942514,0.000220775049233,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
47,784_128_32_10,1,128,5,0.001,0.000223664002068415,3.221405853037684e-06,0.0002189154648662,0.0002381419306216,100,10,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0,0.0002,0.0,10.0
48,784_256_128_64_10,1,16,3,0.01,0.00036953084657525095,7.544612722825613e-06,0.0003595263976773,0.0004079209590042,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
49,784_256_128_64_10,2,16,3,0.01,0.00034955519287697794,5.035770345816628e-06,0.0003410196394234,0.0003668546970254,100,10,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0004,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0003,0.0,10.0
50,784_256_128_64_10,2,16,3,0.01,0.00036268552601136393,4.718407443940703e-06,0.0003529729506101,0.0003728101164188,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
51,784_256_128_64_10,1,16,3,0.001,0.000378032415951267,5.555711648011533e-06,0.0003674992899183,0.0003932320258834,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
52,784_256_128_64_10,2,16,3,0.001,0.0003692481971494669,5.563121664773925e-06,0.0003607311879926,0.0003973609404944,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
53,784_256_128_64_10,2,16,3,0.001,0.000359597078594942,6.978762329858741e-06,0.0003497797607117,0.0003938258640349,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
54,784_256_128_64_10,1,16,5,0.01,0.00036772925862256294,4.903084117781596e-06,0.0003595743718007,0.0003878077686175,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
55,784_256_128_64_10,2,16,5,0.01,0.00035999569450213305,4.417611275533279e-06,0.0003531173816737,0.0003812993856576,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
56,784_256_128_64_10,2,16,5,0.01,0.00035274531810039803,4.475452450707722e-06,0.0003439395429318,0.0003642305625405,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
57,784_256_128_64_10,1,16,5,0.001,0.00037827867003042,4.025358810358856e-06,0.0003712763565419,0.0003938886905035,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
58,784_256_128_64_10,2,16,5,0.001,0.000364127239890904,7.043484595605711e-06,0.0003546724477638,0.0003944634370316,100,10,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0,0.0004,0.0,10.0
59,784_256_128_64_10,2,16,5,0.001,0.000290208563767694,5.8919406892544775e-06,0.0002819665134966,0.0003153247961036,100,10,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0,0.0003,0.0,10.0
